Team,SP_PLUS,Recruiting impact,Returning production,Weighted 5-year
Alabama,35.4,1,1,1
Georgia,30.7,2,2,7
Clemson,29.9,10,3,3
LSU,25.8,3,4,6
Oklahoma,25,4,6,5
Florida,24.6,6,5,23
Ohio State,24.3,5,7,2
Auburn,22.6,7,9,9
Michigan,21.6,12,11,12
Mississippi State,21.4,22,8,20
Wisconsin,20.1,28,10,8
Notre Dame,19.1,14,14,15
Texas A&M,18.7,8,13,24
Penn State,18.4,11,17,11
Washington,17.7,18,16,17
Missouri,17.5,38,12,39
Utah,15.4,40,15,27
South Carolina,14.9,19,20,46
Miami,13.9,23,25,19
Oregon,13.8,13,26,25
Tennessee,12.9,17,28,33
Oklahoma State,12.8,37,23,22
Michigan State,12.6,27,27,21
Boise State,12.6,53,24,30
Iowa,12.5,39,22,35
Memphis,12.3,68,18,44
UCF,11.7,62,21,59
Florida State,10.9,15,43,4
USC,10.7,16,38,10
Virginia Tech,10.6,26,32,26
Appalachian State,10.4,100,19,58
Stanford,10,21,39,13
Minnesota,9.5,42,31,48
TCU,9.2,30,41,16
Texas,8.9,9,51,37
Washington State,8.9,61,29,51
Kentucky,8.8,33,33,68
West Virginia,8.6,45,34,40
Ole Miss,8.5,24,48,18
Baylor,8.1,36,42,31
Virginia,7.9,44,37,70
Utah State,7.6,97,30,79
Iowa State,7.2,49,40,69
Cincinnati,7.1,69,35,77
Nebraska,6.6,20,58,42
Indiana,6.4,41,49,49
NC State,6.3,32,54,29
Arkansas,6.1,25,57,41
Arizona State,5.9,31,53,54
BYU,5.7,75,44,65
Fresno State,5.5,93,36,98
Arizona,5.4,55,45,60
Vanderbilt,5.2,57,47,78
San Diego State,4.9,86,46,47
Texas Tech,4.8,64,50,53
Syracuse,4.6,54,52,73
Northwestern,4.2,50,56,50
Purdue,4.2,35,61,83
Pittsburgh,3.8,51,63,32
California,3.4,46,60,64
North Carolina,3.2,29,74,38
Wake Forest,3.1,60,59,67
UCLA,3.1,34,68,28
Kansas State,3,65,62,34
Duke,2.9,48,66,56
Temple,2.2,94,55,61
Maryland,2.1,47,67,80
Colorado,1.7,43,71,72
Troy,1.4,83,64,85
Arkansas State,1,95,65,71
USF,1,72,72,52
Boston College,0.7,63,75,57
Houston,0.3,74,77,43
Southern Miss,0,80,69,87
Western Michigan,-0.5,84,78,66
Northern Illinois,-0.6,101,73,81
Marshall,-1.2,76,81,76
Toledo,-1.3,71,88,45
Florida Atlantic,-1.3,70,83,88
Army,-1.4,103,70,108
Georgia Southern,-1.5,110,76,92
Ohio,-1.9,99,82,82
Nevada,-1.9,92,80,110
North Texas,-2,85,79,107
SMU,-2.2,73,85,105
Louisiana Tech,-2.4,81,84,75
Louisville,-2.7,58,94,14
Florida International,-3.3,78,86,119
Georgia Tech,-3.5,52,96,36
Air Force,-3.5,111,87,84
Illinois,-3.8,56,92,86
Wyoming,-4.7,104,89,100
Miami (Ohio),-4.9,96,91,99
Hawaii,-5.5,102,90,125
Tulsa,-6,98,93,97
Eastern Michigan,-6.4,125,95,112
Buffalo,-7,112,97,109
Tulane,-7.2,89,99,106
UL-Lafayette,-7.2,82,101,101
UNLV,-7.5,107,98,122
Western Kentucky,-8.6,90,103,63
Texas State,-8.8,127,100,127
UL-Monroe,-8.9,128,102,118
Middle Tennessee,-9.3,87,104,89
Oregon State,-9.4,66,105,96
UAB,-9.8,91,106,74
Kansas,-12.1,67,109,121
Rutgers,-12.3,59,111,95
Colorado State,-12.8,79,113,62
Ball State,-12.9,116,108,115
Kent State,-13.7,105,110,124
Liberty,-13.8,130,107,128
East Carolina,-14.4,77,116,91
Georgia State,-15.2,106,114,114
New Mexico,-15.3,121,115,104
Coastal Carolina,-15.6,129,112,120
San Jose State,-16.2,109,117,116
Navy,-16.3,120,119,55
Old Dominion,-17.6,118,120,111
Charlotte,-17.8,123,118,130
New Mexico State,-17.9,126,121,123
Central Michigan,-18.5,108,122,93
Bowling Green,-19.4,113,124,90
Akron,-19.9,122,125,103
Massachusetts,-19.9,117,126,113
Rice,-20,119,123,126
South Alabama,-20.8,115,127,102
UTSA,-21.7,88,128,94
Connecticut,-24.7,114,129,117
UTEP,-28.5,124,130,129