Team,FPI
Alabama,30.9
Ohio State,30.5
Clemson,26.3
Georgia,26.1
LSU,25
Oklahoma,24.2
Penn State,22.7
Oregon,21.7
Notre Dame,21.3
Auburn,21.3
Wisconsin,21
Florida,18.6
Michigan,14.9
Washington,14.6
Mich. St.,14.5
Texas A&M,14.4
Missouri,14
Iowa,13.6
Iowa State,13.2
Utah,13
Texas,13
UCF,12.7
USC,10.8
Baylor,10.5
S Carolina,10.3
Oklahoma State,10.2
Miss St,9.6
Cincinnati,8
Miami,7.7
Washington St,7.5
Boise State,7.2
Florida State,6.8
TCU,6.4
Duke,6.2
Minnesota,6.2
Virginia,5.9
Arizona State,5.8
North Carolina,5.8
Stanford,5.5
Memphis,5.4
SMU,5.4
Kentucky,5.2
Cal,5
Kansas State,4.9
Maryland,4.9
Arizona,4.4
Wake Forest,4.3
Tulane,4.1
Ole Miss,3.8
Indiana,3.7
Texas Tech,3.4
Appalachian St,3
Tennessee,2.9
Nebraska,2.6
Pittsburgh,2.3
Utah State,1.9
Louisville,1.5
BYU,1.5
Louisiana,1.4
UCLA,1.4
Oregon St,1.1
Northwestern,0.7
Toledo,0.6
NC State,0.6
Houston,0.6
Hawai'i,0.2
Syracuse,0.2
W Michigan,0.2
Air Force,0.1
West Virginia,-0.1
San Diego State,-0.6
Colorado,-0.7
Virginia Tech,-0.9
Fresno State,-1.2
Wyoming,-1.7
Temple,-3
Navy,-3
Boston College,-3.1
FAU,-3.1
Purdue,-3.1
Arkansas,-3.2
Army,-3.2
Tulsa,-3.7
Vanderbilt,-4.4
Southern Miss,-4.5
North Texas,-4.7
Arkansas State,-6.1
Marshall,-6.6
Illinois,-7
Florida Intl,-7.5
USF,-7.7
Ohio,-7.8
LA Tech,-8.1
Troy,-8.4
W Kentucky,-8.5
C. Carolina,-9.2
Ball State,-9.4
Ga Southern,-9.6
Georgia State,-9.8
UAB,-10.2
UL Monroe,-10.3
Kansas,-10.4
N Illinois,-10.5
Mid Tennessee,-10.6
Cent Michigan,-10.6
Colorado State,-10.7
Kent State,-11.5
Liberty,-11.5
San Jose State,-11.7
Miami (OH),-11.7
Georgia Tech,-11.7
Buffalo,-12
E Michigan,-12.2
Charlotte,-13.2
Texas State,-13.9
East Carolina,-14.6
Rutgers,-16.1
UNLV,-16.9
Rice,-17
New Mexico,-17
Nevada,-17.7
UTSA,-20.5
New Mexico St,-21.2
Old Dominion,-21.7
South Alabama,-22.6
Bowling Green,-24.8
UConn,-25.2
UTEP,-26.2
Akron,-26.8
UMass,-31.8